source,target,value
sdc@1.8.6,amonadm@git+https://github.com/joyent/sdc-amonadm.git#v1.0.1,1
sdc@1.8.6,smartdc@git+https://github.com/joyent/node-smartdc.git#4308fd9,1
sdc@1.8.6,manta@git+https://github.com/joyent/node-manta.git#b277acf,1
sdc@1.8.6,moray@git+https://github.com/joyent/node-moray.git#b84ef0e,1
sdc@1.8.6,imgapi-cli@git+https://github.com/joyent/sdc-imgapi-cli.git#v2.5.0,1
sdc@1.8.6,bunyan@1.3.3,1
sdc@1.8.6,assert-plus@0.1.5,1
sdc@1.8.6,ldapjs@git+https://github.com/mcavage/node-ldapjs.git#f213b3e,1
sdc@1.8.6,mkdirp@0.3.5,1
closure-ts@0.3.0,mkdirp@0.3.5,1
sdc@1.8.6,posix-getopt@1.1.0,1
sdc@1.8.6,cmdln@1.2.2,1
sdc@1.8.6,dashdash@1.7.3,1
sdc@1.8.6,read@1.0.4,1
sdc@1.8.6,verror@1.4.0,1
sdc@1.8.6,extsprintf@1.2.0,1
sdc@1.8.6,amqp-plus@git+https://github.com/orlandov/node-amqp-plus.git#02ddfbd,1
sdc@1.8.6,json@9.0.3,1
sdc@1.8.6,jsprim@0.5.1,1
sdc@1.8.6,tabula@1.4.1,1
sdc@1.8.6,urclient@1.2.1,1
sdc@1.8.6,vasync@1.5.0,1
staged-github-files@1.0.3,underscore.string@^2.3.3,1
jyavu.com@1.0.0,password-hash@^1.2.2,1
YiffSpot@2.6.0,babel-core@^6.26.3,1
ripsaw@0.1.0,babel-core@^6.26.3,1
YiffSpot@2.6.0,babel-loader@^7.1.5,1
YiffSpot@2.6.0,babel-preset-env@^1.7.0,1
YiffSpot@2.6.0,clean-webpack-plugin@^0.1.19,1
YiffSpot@2.6.0,css-loader@^1.0.0,1
